home_team,away_team,home_team_goals,away_team_goals,match_date
partick thistle,livingston,0,1,2018-05-20T15:30:00+00:00
livingston,partick thistle,2,1,2018-05-17T19:45:00+00:00
celtic,aberdeen,0,1,2018-05-13T12:30:00+00:00
hibernian,rangers,5,5,2018-05-13T12:30:00+00:00
kilmarnock,hearts,1,0,2018-05-13T12:30:00+00:00
dundee fc,partick thistle,0,1,2018-05-12T15:00:00+00:00
motherwell,hamilton,3,0,2018-05-12T15:00:00+00:00
st. johnstone,ross county,1,1,2018-05-12T15:00:00+00:00
livingston,dundee utd,1,1,2018-05-11T19:45:00+00:00
celtic,kilmarnock,0,0,2018-05-09T19:45:00+00:00
hearts,hibernian,2,1,2018-05-09T19:45:00+00:00
aberdeen,rangers,1,1,2018-05-08T19:45:00+00:00
hamilton,st. johnstone,1,2,2018-05-08T19:45:00+00:00
partick thistle,motherwell,0,1,2018-05-08T19:45:00+00:00
ross county,dundee fc,0,1,2018-05-08T19:45:00+00:00
dundee utd,livingston,2,3,2018-05-07T19:45:00+00:00
hearts,celtic,1,3,2018-05-06T12:15:00+00:00
aberdeen,hibernian,0,0,2018-05-05T15:00:00+00:00
rangers,kilmarnock,1,0,2018-05-05T15:00:00+00:00
motherwell,st. johnstone,1,5,2018-05-05T15:00:00+00:00
dundee fc,hamilton,1,0,2018-05-05T12:30:00+00:00
partick thistle,ross county,1,1,2018-05-04T19:45:00+00:00
dundee utd,dunfermline,2,1,2018-05-04T19:45:00+00:00
dunfermline,dundee utd,0,0,2018-05-01T19:45:00+00:00
celtic,rangers,5,0,2018-04-29T12:00:00+00:00
hibernian,kilmarnock,5,3,2018-04-28T15:00:00+00:00
motherwell,dundee fc,2,1,2018-04-28T15:00:00+00:00
st. johnstone,partick thistle,1,1,2018-04-28T15:00:00+00:00
hamilton,ross county,2,0,2018-04-28T12:30:00+00:00
aberdeen,hearts,2,0,2018-04-27T19:45:00+00:00
rangers,hearts,2,1,2018-04-22T12:30:00+00:00
kilmarnock,aberdeen,0,2,2018-04-21T15:00:00+00:00
dundee fc,st. johnstone,2,1,2018-04-21T15:00:00+00:00
partick thistle,hamilton,2,1,2018-04-21T15:00:00+00:00
ross county,motherwell,0,0,2018-04-21T15:00:00+00:00
hibernian,celtic,2,1,2018-04-21T12:30:00+00:00
hamilton,kilmarnock,1,2,2018-04-14T15:00:00+00:00
hamilton,celtic,1,2,2018-04-08T12:30:00+00:00
hearts,aberdeen,2,0,2018-04-07T15:00:00+00:00
partick thistle,kilmarnock,0,1,2018-04-07T15:00:00+00:00
